,X,First.Author..last.,First.Author..first.,et.al.,Modern.Latitude,Modern.Longitude,Modern.Location,Paleo.Latitude,Paleo.Longitude,Approximate.Age,Climate,Deposition.Setting,Numerical.Age,Period,Epoch,Age,Formation,Host.Litho,Year,DOI,Title,Citation..MLA.9.,Note
33,37,Claussen,Anna Lene,"Munnecke, Axel; Ernst, Andrej",57.257861,18.710944,"Bote 2, Sweden",-11.262,-53.6165,423.87,Arid,Coastal,,Silurian,Ludlow,Ludfordian,Eke Formation,Baltic Basin,2022,10.1111/sed.12863,Bryozoan-rich stromatolites (bryostromatolites) from the Silurian of Gotland and their relation to climate-related perturbations of the global carbon cycle,"Claussen, Anna Lene, et al. “Bryozoan-Rich Stromatolites (Bryostromatolites) from the Silurian of Gotland and Their Relation to Climate-Related Perturbations of the Global Carbon Cycle.” Sedimentology, vol. 69, no. 1, 2022, pp. 162–98. Wiley Online Library, https://doi.org/10.1111/sed.12863.",
34,35,Claussen,Anna Lene,"Munnecke, Axel; Ernst, Andrej",57.275889,18.706028,"Nyan, Sweden",-11.2503,-53.6307,423.87,Arid,Coastal,,Silurian,Ludlow,Ludfordian,Eke Formation,Baltic Basin,2022,10.1111/sed.12863,Bryozoan-rich stromatolites (bryostromatolites) from the Silurian of Gotland and their relation to climate-related perturbations of the global carbon cycle,"Claussen, Anna Lene, et al. “Bryozoan-Rich Stromatolites (Bryostromatolites) from the Silurian of Gotland and Their Relation to Climate-Related Perturbations of the Global Carbon Cycle.” Sedimentology, vol. 69, no. 1, 2022, pp. 162–98. Wiley Online Library, https://doi.org/10.1111/sed.12863.",
35,40,Claussen,Anna Lene,"Munnecke, Axel; Ernst, Andrej",57.281417,18.640111,"Hallsarve 2, Sweden",-11.2699,-53.6616,423.87,Arid,Coastal,,Silurian,Ludlow,Ludfordian,Eke Formation,Baltic Basin,2022,10.1111/sed.12863,Bryozoan-rich stromatolites (bryostromatolites) from the Silurian of Gotland and their relation to climate-related perturbations of the global carbon cycle,"Claussen, Anna Lene, et al. “Bryozoan-Rich Stromatolites (Bryostromatolites) from the Silurian of Gotland and Their Relation to Climate-Related Perturbations of the Global Carbon Cycle.” Sedimentology, vol. 69, no. 1, 2022, pp. 162–98. Wiley Online Library, https://doi.org/10.1111/sed.12863.",
36,36,Claussen,Anna Lene,"Munnecke, Axel; Ernst, Andrej",57.287472,18.639028,"Lau Backer, Sweden",-11.2657,-53.6662,423.87,Arid,Coastal,,Silurian,Ludlow,Ludfordian,Eke Formation,Baltic Basin,2022,10.1111/sed.12863,Bryozoan-rich stromatolites (bryostromatolites) from the Silurian of Gotland and their relation to climate-related perturbations of the global carbon cycle,"Claussen, Anna Lene, et al. “Bryozoan-Rich Stromatolites (Bryostromatolites) from the Silurian of Gotland and Their Relation to Climate-Related Perturbations of the Global Carbon Cycle.” Sedimentology, vol. 69, no. 1, 2022, pp. 162–98. Wiley Online Library, https://doi.org/10.1111/sed.12863.",
37,39,Claussen,Anna Lene,"Munnecke, Axel; Ernst, Andrej",57.288,18.645833,"Hallsarve 1, Sweden",-11.2629,-53.6637,423.87,Arid,Coastal,,Silurian,Ludlow,Ludfordian,Eke Formation,Baltic Basin,2022,10.1111/sed.12863,Bryozoan-rich stromatolites (bryostromatolites) from the Silurian of Gotland and their relation to climate-related perturbations of the global carbon cycle,"Claussen, Anna Lene, et al. “Bryozoan-Rich Stromatolites (Bryostromatolites) from the Silurian of Gotland and Their Relation to Climate-Related Perturbations of the Global Carbon Cycle.” Sedimentology, vol. 69, no. 1, 2022, pp. 162–98. Wiley Online Library, https://doi.org/10.1111/sed.12863.",
38,38,Claussen,Anna Lene,"Munnecke, Axel; Ernst, Andrej",57.295806,18.651222,"Botvide, Sweden",-11.2551,-53.6668,423.87,Arid,Coastal,,Silurian,Ludlow,Ludfordian,Eke Formation,Baltic Basin,2022,10.1111/sed.12863,Bryozoan-rich stromatolites (bryostromatolites) from the Silurian of Gotland and their relation to climate-related perturbations of the global carbon cycle,"Claussen, Anna Lene, et al. “Bryozoan-Rich Stromatolites (Bryostromatolites) from the Silurian of Gotland and Their Relation to Climate-Related Perturbations of the Global Carbon Cycle.” Sedimentology, vol. 69, no. 1, 2022, pp. 162–98. Wiley Online Library, https://doi.org/10.1111/sed.12863.",
1,1,Adams,A. E.,-,53.19512,-1.77485,"Monyash, Derbyshire",1.7848,11.7883,329.095,Tropical,Coastal,,Carboniferous,-,-,Eyam Limestone,-,1980,10.1111/j.1365-3091.1980.tb01653.x,Calcrete profiles in the Eyam Limestone (Carboniferous) of Derbyshire:petrology and regional significance,"Adams, A. E. “Calcrete Profiles in the Eyam Limestone (Carboniferous) of Derbyshire: Petrology and Regional Significance.” Sedimentology, vol. 27, no. 6, 1980, pp. 651–60. Wiley Online Library, https://doi.org/10.1111/j.1365-3091.1980.tb01653.x.
",
60,60,Gąsiewicz,Andrzej,-,50.505386,21.128208,"Staszow, Poland",45.9599,18.5407,14.185,Warm Temperate,Coastal-Continental,,Neogene,Miocene,-,F,Carpathian Foredeep,2000,10.1016/S0009-2541(99)00146-1,Comparative study of major element geochemistry of gypsum-ghost limestones and selenite lithofacies from the Miocene of northern Carpathian Foredeep: implication to the model of massive replacement of solid sulphates by calcium carbonates,"Gąsiewicz, Andrzej. “Comparative Study of Major Element Geochemistry of Gypsum-Ghost Limestones and Selenite Lithofacies from the Miocene of Northern Carpathian Foredeep: Implication to the Model of Massive Replacement of Solid Sulphates by Calcium Carbonates.” Chemical Geology, vol. 164, no. 3–4, Mar. 2000, pp. 183–218. DOI.org (Crossref), https://doi.org/10.1016/S0009-2541(99)00146-1.",
16,16,Azennoud,Khalil,"Baali, Abdennasser; Mesquita-Joanes, Francesc; El Asmi, Hicham; Ait Brahim, Yassine",33.559006,4.930656,northern Morocco,17.0555,13.6194,200.41,Arid,Continental,,Jurassic,Early,-,FA2 palustrine bioclastic limestone,Lake Ifrah Basin,2023,10.1016/j.sedgeo.2023.106376,"Disentangling orbital, sub-orbital, and tectonic signatures from lacustrine sediments developed upon a half-graben (Lake Ifrah Basin, Northwest Africa): Insights into lowest-rank T-R sequences in low accommodation basins","Azennoud, Khalil, et al. “Disentangling Orbital, Sub-Orbital, and Tectonic Signatures from Lacustrine Sediments Developed upon a Half-Graben (Lake Ifrah Basin, Northwest Africa): Insights into Lowest-Rank T-R Sequences in Low Accommodation Basins.” Sedimentary Geology, vol. 449, May 2023, p. 106376. ScienceDirect, https://doi.org/10.1016/j.sedgeo.2023.106376.",
29,29,Chen,Pei-yuan,"Tan, Xiu-cheng; Liu, Hong; Ma, Teng; Luo, Bing; Jiang, Xing-fu; Yu, Yang; Jin, Xiu-ju",31.5,107.983333,"NE Sichuan, China",11.212,95.4418,250.89,Arid,Coastal-Continental,,Triassic,Early,-,Feixianguan,Sichuan Basin,2014,10.1007/s11771-014-2299-3,"Formation mechanism of reservoir oolitic dolomite in Lower Triassic Feixianguan formation, northeastern Sichuan Basin, southwest China","Chen, Pei-yuan, et al. “Formation Mechanism of Reservoir Oolitic Dolomite in Lower Triassic Feixianguan Formation, Northeastern Sichuan Basin, Southwest China.” Journal of Central South University, vol. 21, no. 8, Aug. 2014, pp. 3263–74. Springer Link, https://doi.org/10.1007/s11771-014-2299-3.",
30,30,Chen,Pei-yuan,"Tan, Xiu-cheng; Liu, Hong; Ma, Teng; Luo, Bing; Jiang, Xing-fu; Yu, Yang; Jin, Xiu-ju",31.75,107.5,"NE Sichuan, China",11.054,94.9781,250.89,Arid,Coastal-Continental,,Triassic,Early,-,Feixianguan,Sichuan Basin,2014,10.1007/s11771-014-2299-3,"Formation mechanism of reservoir oolitic dolomite in Lower Triassic Feixianguan formation, northeastern Sichuan Basin, southwest China","Chen, Pei-yuan, et al. “Formation Mechanism of Reservoir Oolitic Dolomite in Lower Triassic Feixianguan Formation, Northeastern Sichuan Basin, Southwest China.” Journal of Central South University, vol. 21, no. 8, Aug. 2014, pp. 3263–74. Springer Link, https://doi.org/10.1007/s11771-014-2299-3.",
98,98,Orozco,Miguel,"Molina, Jose Miguel; Crespo-Blanc, Ana; Alonso-Chaves, Francisco Manuel",37.283271,-2.513341,"Las Menas, Spain",32.7641,-2.2749,9.438,Warm Temperate,Coastal,11.63-7.246,Neogene,Miocene,Tortonian,Filabres detachment,Sierra de los Filabres,1999,10.1023/A:1003610431688,"Palaeokarst and rauhwacke development, mountain uplift and subaerial sliding of tectonic sheets (northern Sierra de los Filabres, Betic Cordilleras, Spain)","Orozco, Miguel, et al. “Palaeokarst and Rauhwacke Development, Mountain Uplift and Subaerial Sliding of Tectonic Sheets (Northern Sierra de Los Filabres, Betic Cordilleras, Spain).” Geologie En Mijnbouw, vol. 78, no. 1, 1999, pp. 103–17. DOI.org (Crossref), https://doi.org/10.1023/A:1003610431688.",
62,62,Gradziński,Michal,"Duliński, M; Hercman, H; Górny, A; Przybyszowski, S ",49.673626,20.630779,"Klęczany, Poland",43.9587,17.6208,28.47,Boreotropical,Coastal,,Paleogene,Oligocene,-,Fore-Magura Group,Polish Carpathians,2012,10.7306/gq.1051,Peculiar calcite speleothems filling fissures in calcareous sandstones  and their palaeohydrological and palaeoclimatic significance:  an example from the Polish Carpathians,"Gradziński, M., et al. “Peculiar Calcite Speleothems Filling Fissures in Calcareous Sandstones and Their Palaeohydrological and Palaeoclimatic Significance: An Example from the Polish Carpathians.” Geological Quarterly, vol. 56, no. 4, 2012, pp. 711–32. Scopus, Scopus, https://doi.org/10.7306/gq.1051.",
122,129,Semeniuk,V,"Percival, I.G.; Brocx, M.",-33.584565,148.893371,"Cliefden Caves, NSW, Australia",19.4167,123.2932,453,Arid,Coastal,456-450,Ordovician,Late,Sandbian-Katian,Fossil Hill Limestone,Bowan Park Subgroup,2019,10.1080/08120099.2019.1577297,"Subaerial disconformities, microkarst and paleosols in Ordovician limestones at Bowan Park and Cliefden Caves, New South Wales, and their geoheritage significance","Semeniuk, V., et al. “Subaerial Disconformities, Microkarst and Paleosols in Ordovician Limestones at Bowan Park and Cliefden Caves, New South Wales, and Their Geoheritage Significance.” Australian Journal of Earth Sciences, vol. 66, no. 6, Aug. 2019, pp. 891–906. DOI.org (Crossref), https://doi.org/10.1080/08120099.2019.1577297.",
22,22,Brocx,M,"Semeniuk, V; Percival, I.G.",-33.593945,148.89471,"New South Wales, Australia",18.5795,124.809,455.465,Arid,Coastal,,Ordovician,Late,-,Fossil Hill Limestone,Cliefden Caves,2019,10.1080/08120099.2019.1569128,"Global geoheritage significance of Ordovician stratigraphy and sedimentology in the Cliefden Caves area, central western New South Wales","Brocx, M., et al. “Global Geoheritage Significance of Ordovician Stratigraphy and Sedimentology in the Cliefden Caves Area, Central Western New South Wales.” Australian Journal of Earth Sciences, vol. 66, no. 6, Aug. 2019, pp. 879–90. DOI.org (Crossref), https://doi.org/10.1080/08120099.2019.1569128.",
110,110,Sadji,Radouane,"Munnecke, Axel; Benhamou, Miloud; Alberti, Matthias; Belkhedim, Salim; Ramdane, Nabil",35.477718,1.227752,"Tiaret, Algeria",19.2363,17.6048,158.155,Tropical,Coastal,,Jurassic,Late,Oxfordian,Frid Ammonitico Rosso Formation,Ouarsenis Mountains,2021,10.1016/j.palaeo.2021.110224,"Late Jurassic temperatures for the southern Tethyan margin based on belemnites δ18O from the Ouarsenis Mountains, northwestern Algeria","Sadji, Radouane, et al. “Late Jurassic Temperatures for the Southern Tethyan Margin Based on Belemnites δ18O from the Ouarsenis Mountains, Northwestern Algeria.” Palaeogeography, Palaeoclimatology, Palaeoecology, vol. 566, Mar. 2021, p. 110224. ScienceDirect, https://doi.org/10.1016/j.palaeo.2021.110224.",
113,115,Schlager,Wolfgang,-,43.636729,12.71115,"Furlo, Italy",17.1988,34.3461,146.17,Tropical,Coastal,,Jurassic,Late,Tithonian,Furlo Appenines,Alpine-Mediterranean orogenic belt,1975,10.1002/9781444304855.ch5,Preservation of Cephalopod Skeletons and Carbonate Dissolution on Ancient Tethyan Sea Floors,"Schlager, Wolfgang. “Preservation of Cephalopod Skeletons and Carbonate Dissolution on Ancient Tethyan Sea Floors.” Pelagic Sediments: On Land and under the Sea, edited by Kenneth J. Hsü and Hugh C. Jenkyns, 1st ed., Wiley, 1975, pp. 49–70. DOI.org (Crossref), https://doi.org/10.1002/9781444304855.ch3.",
61,61,Gómez-Pérez,Irene,", Pedro A; García-Mondéjar, J.",43.039228,-3.002794,"Bilbao, Spain",34.0573,18.2974,110.95,Tropical,Coastal,,Cretaceous,Early,Aptian-Albian,G,Albian Gorbea platform,1998,-,"Platform margin palaeokarst development from the Albian of Gorbea (Basque-Cantabrian region, N Iberia)","Gómez-Pérez, Irene, et al. “Platform Margin Palaeokarst Development from the Albian of Gorbea (Basque-Cantabrian Region, N Iberia).” Acta Geologica Hungarica, vol. 41, no. 1, 1998, pp. 3–22.",
135,133,Spalluto,Luigi,-,41.685806,15.65946,"Borgo Celano village, Italy",15.7975,34.7855,140.4,Tropical,Coastal,,Cretaceous,Early,-,Gargano Promontory,Apulian Foreland,2008,-,"Sedimentology and high-resolution sequence stratigraphy of a lower Cretaceous shallow-water carbonate succession from the Western Gargano Promontory (Apulia, Southern Italy)","Spalluto, Luigi. “Sedimentology and High-Resolution Sequence Stratigraphy of a Lower Cretaceous Shallow-Water Carbonate Succession from the Western Gargano Promontory (Apulia, Southern Italy).” GeoActa, vol. Special Publication, no. 1, 2008, pp. 173–91. Scopus.",
125,123,Semeniuk,V,-,-33.475647,148.795852,"Molong, NSW, Australia",18.5624,124.6784,455.5,Arid,Coastal,461-450,Ordovician,Late,Sandbian-Katian,Glenrae Limestone,Bowan Park Group,1973,10.1080/00167617308728828,Nearshore to offshore facies and depositional history of the Ordovician Daylesford Limestone New South Wales,"Semeniuk, V. “Nearshore to Offshore Facies and Depositional History of the Ordovician Daylesford Limestone New South Wales.” Journal of the Geological Society of Australia, vol. 20, no. 4, 1973, pp. 449–63. DOI.org (Crossref), https://doi.org/10.1080/00167617308728828.",
130,125,Semeniuk,V,-,-33.391986,148.95996,"Molong, NSW, Australia",18.7229,124.6823,455.5,Arid,Coastal,461-450,Ordovician,Late,Sandbian-Katian,Glenrae Limestone,Bowan Park Group,1973,10.1080/00167617308728828,Nearshore to offshore facies and depositional history of the Ordovician Daylesford Limestone New South Wales,"Semeniuk, V. “Nearshore to Offshore Facies and Depositional History of the Ordovician Daylesford Limestone New South Wales.” Journal of the Geological Society of Australia, vol. 20, no. 4, 1973, pp. 449–63. DOI.org (Crossref), https://doi.org/10.1080/00167617308728828.",
64,64,Hathaway,B,-,-17.982828,177.443454,"Viti Levu, Fiji",-12.4379,-179.3681,17.335,Tropical,Coastal,,Neogene,Miocene,Early-Middle,H,Viti Levu,1995,10.1016/0037-0738(94)00086-A,"Deposition and diagenesis of Miocene arc-fringing platform and debris-apron carbonates, southwestern Viti Levu, Fiji","Hathway, B. “Deposition and Diagenesis of Miocene Arc-Fringing Platform and Debris-Apron Carbonates, Southwestern Viti Levu, Fiji.” Sedimentary Geology, vol. 94, no. 3–4, Jan. 1995, pp. 187–208. DOI.org (Crossref), https://doi.org/10.1016/0037-0738(94)00086-A.",
115,113,Schlager,Wolfgang,-,47.540438,13.659773,"Hallstatt, Austria",19.5189,23.875,232.15,Arid,Coastal-Continental,,Triassic,Late,-,Hallstatt,Alpine-Mediterranean orogenic belt,1975,10.1002/9781444304855.ch3,Preservation of Cephalopod Skeletons and Carbonate Dissolution on Ancient Tethyan Sea Floors,"Schlager, Wolfgang. “Preservation of Cephalopod Skeletons and Carbonate Dissolution on Ancient Tethyan Sea Floors.” Pelagic Sediments: On Land and under the Sea, edited by Kenneth J. Hsü and Hugh C. Jenkyns, 1st ed., Wiley, 1975, pp. 49–70. DOI.org (Crossref), https://doi.org/10.1002/9781444304855.ch3.",
32,41,Claussen,Anna Lene,"Munnecke, Axel; Ernst, Andrej",56.922361,18.128833,"Hoburgen, Sweden",-11.7228,-53.6322,423.87,Arid,Coastal,,Silurian,Ludlow,Ludfordian,Hamra Formation,Baltic Basin,2022,10.1111/sed.12863,Bryozoan-rich stromatolites (bryostromatolites) from the Silurian of Gotland and their relation to climate-related perturbations of the global carbon cycle,"Claussen, Anna Lene, et al. “Bryozoan-Rich Stromatolites (Bryostromatolites) from the Silurian of Gotland and Their Relation to Climate-Related Perturbations of the Global Carbon Cycle.” Sedimentology, vol. 69, no. 1, 2022, pp. 162–98. Wiley Online Library, https://doi.org/10.1111/sed.12863.",
41,34,Claussen,Anna Lene,"Munnecke, Axel; Ernst, Andrej",57.925944,29.048944,"Hallagrund, Sweden",-7.7329,-57.5142,431.775,Arid,Coastal,,Silurian,Wenlock,Sheinwoodian,Hangvar Formation,Baltic Basin,2022,10.1111/sed.12863,Bryozoan-rich stromatolites (bryostromatolites) from the Silurian of Gotland and their relation to climate-related perturbations of the global carbon cycle,"Claussen, Anna Lene, et al. “Bryozoan-Rich Stromatolites (Bryostromatolites) from the Silurian of Gotland and Their Relation to Climate-Related Perturbations of the Global Carbon Cycle.” Sedimentology, vol. 69, no. 1, 2022, pp. 162–98. Wiley Online Library, https://doi.org/10.1111/sed.12863.",
39,32,Claussen,Anna Lene,"Munnecke, Axel; Ernst, Andrej",57.600083,18.201583,"Hogklint, Sweden",-11.5011,-61.9726,431.775,Arid,Coastal,,Silurian,Wenlock,Sheinwoodian,Hogklint Formation,Baltic Basin,2022,10.1111/sed.12863,Bryozoan-rich stromatolites (bryostromatolites) from the Silurian of Gotland and their relation to climate-related perturbations of the global carbon cycle,"Claussen, Anna Lene, et al. “Bryozoan-Rich Stromatolites (Bryostromatolites) from the Silurian of Gotland and Their Relation to Climate-Related Perturbations of the Global Carbon Cycle.” Sedimentology, vol. 69, no. 1, 2022, pp. 162–98. Wiley Online Library, https://doi.org/10.1111/sed.12863.",
146,146,Watts,Nigel R.,-,57.594073,18.191463,"Hogklint, Sweden",-13.2179,-61.4675,432.95,Arid,Coastal,438.5-427.4,Silurian,Middle,-,Hogklint Formation,Gotland Sweden,1982,-,"Early Carbonate Fabrics in Silurian Reefs of Gotland, Sweden","Watts, Nigel R. “Early Carbonate Fabrics in Silurian Reefs of Gotland, Sweden: ABSTRACT.” AAPG Bulletin, vol. 66, no. 5, 1982, pp. 640–41.",
49,49,Dickson,J.A.D,"Saller, A.H.",32.768887,-100.267239,"Reinecke Resrvoir, Texas",1.0602,-31.2549,291.7,Tropical,Continental,299-284.4,Permian,Cisuralian,Wolfcampian,Horseshoe Atoll,Permian Basin,2006,10.2110/jsr.2006.043,"Carbon Isotope Excursions and Crinoid Dissolution at Exposure Surfaces in Carbonates, West Texas, U.S.A.","Dickson, J. A. D., and A. H. Saller. “Carbon Isotope Excursions and Crinoid Dissolution at Exposure Surfaces in Carbonates, West Texas, U.S.A.” Journal of Sedimentary Research, vol. 76, no. 3, Mar. 2006, pp. 404–10. DOI.org (Crossref), https://doi.org/10.2110/jsr.2006.043.",
157,156,Zhi-chen,Zhou,"Flugel, Erik",30.95775102,118.5924126,"Wanghu, Anhui, China",8.9339,111.1333,314.375,Tropical,Coastal,323.40-305.35,Carboniferous,Late,Bashkirian-Kasimovian,Huanglon Formation,-,1986,10.1007/BF02536856,"Carbonate ramp deposition: Middle to upper carboniferous microfacies of Eastern Anhui and Southern Jiangsu, China","Zhi-chen, Zhou, and Erik Flügel. “Carbonate Ramp Deposition: Middle to Upper Carboniferous Microfacies of Eastern Anhui and Southern Jiangsu, China.” Facies, vol. 14, no. 1, Dec. 1986, pp. 201–33. Springer Link, https://doi.org/10.1007/BF02536856.","The paper argues that the epoch of the formation is disputed between Middle and Late Carboniferous, they favor Middle, but this was back in 1986"
71,74,Koch,Roman,-,45.570799,14.032115,"Slivje, Slovenia",28.6058,29.5827,97.2,Tropical,Coastal,,Cretaceous,Late,-,I,-,1988,-,Diagenetic features of limestones from the Cretaceous/Tertiary boundary of SW Slovenia (Yugoslavia),"Koch, Roman. “Diagenetic Features of Limestones from the Cretaceous/Tertiary Boundary of SW Slovenia (Yugoslavia).” Geologija, vol. 31, no. 1, 1, June 1988, pp. 395–401.",
73,72,Koch,Roman,-,45.584699,14.009555,"Materija, Slovenia",28.6257,29.5747,97.2,Tropical,Coastal,,Cretaceous,Late,-,I,-,1988,-,Diagenetic features of limestones from the Cretaceous/Tertiary boundary of SW Slovenia (Yugoslavia),"Koch, Roman. “Diagenetic Features of Limestones from the Cretaceous/Tertiary Boundary of SW Slovenia (Yugoslavia).” Geologija, vol. 31, no. 1, 1, June 1988, pp. 395–401.",
75,70,Koch,Roman,-,45.603029,13.927325,"Kozina, Slovenia",28.6697,29.5276,97.2,Tropical,Coastal,,Cretaceous,Late,-,I,-,1988,-,Diagenetic features of limestones from the Cretaceous/Tertiary boundary of SW Slovenia (Yugoslavia),"Koch, Roman. “Diagenetic Features of Limestones from the Cretaceous/Tertiary Boundary of SW Slovenia (Yugoslavia).” Geologija, vol. 31, no. 1, 1, June 1988, pp. 395–401.",
140,140,Sulli,A,"Interbartolo, F",37.830796,13.155691,"Maranfusa Mt., Sicily, Italy",18.8351,22.4575,197.13,Tropical,Coastal,,Jurassic,Early,Hettangian-Sinemurian,Inici,Monte Maranfusa Succession,2016,10.1016/j.sedgeo.2015.10.013,Subaerial exposure and drowning processes in a carbonate platform during the Mesozoic Tethyan rifting: The case of the Jurassic succession of Western Sicily (central Mediterranean),"Sulli, A., and F. Interbartolo. “Subaerial Exposure and Drowning Processes in a Carbonate Platform during the Mesozoic Tethyan Rifting: The Case of the Jurassic Succession of Western Sicily (Central Mediterranean).” Sedimentary Geology, vol. 331, Jan. 2016, pp. 63–77. DOI.org (Crossref), https://doi.org/10.1016/j.sedgeo.2015.10.013.",
5,5,Alonso Zarza,A.M.,"Calvo, J.P.; García del Cura, M.A.",40.884167,2.816389,"Argecilla, Spain",35.8553,2.4411,12.725,Warm Temperate,Coastal,13.82-11.63,Neogene,Miocene,Serravallian,Intermediate Unit,Madrid Basin,1992,10.1016/0037-0738(92)90138-H,"Palustrine sedimentation and associated features grainification and pseudo-microkarst in the Middle Miocene (Intermediate Unit) of the Madrid Basin, Spain","Alonso Zarza, A. M., et al. “Palustrine Sedimentation and Associated Features—Grainification and Pseudo-Microkarst—in the Middle Miocene (Intermediate Unit) of the Madrid Basin, Spain.” Sedimentary Geology, vol. 76, no. 1–2, Feb. 1992, pp. 43–61. DOI.org (Crossref), https://doi.org/10.1016/0037-0738(92)90138-H.",
48,48,Dawson,William C.,"Carozzi, Albert V",37.911853,-95.355601,"Iola, Kansas",0.4701,-26.5373,302.955,Tropical,Continental,,Carboniferous,Late,Kasimovian-Gzhelian,Iola Formation,-,1986,10.1016/0037-0738(86)90085-0,"Anatomy of a phylloid algal buildup, Raytown Limestone, Iola Formation, Pennsylvanian, Southeast Kansas, U.S.A.","Dawson, William C., and Albert V. Carozzi. “Anatomy of a Phylloid Algal Buildup, Raytown Limestone, Iola Formation, Pennsylvanian, Southeast Kansas, U.S.A.” Sedimentary Geology, vol. 47, no. 3, May 1986, pp. 221–61. ScienceDirect, https://doi.org/10.1016/0037-0738(86)90085-0.",
83,83,Matyszkiewicz,J,"Felisiak, I",50.083333,19.85,"Mydlniki, Poland",37.3227,41.7017,158.155,Arid,Coastal-Continental,,Jurassic,Late,Oxfordian,J,-,1992,10.1007/BF02536811,"Microfacies and diagenesis of an upper oxfordian carbonate buildup in Mydlniki (Cracow Area, Southern Poland)","Matyszkiewicz, Jacek, and Ireneusz Felisiak. “Microfacies and Diagenesis of an Upper Oxfordian Carbonate Buildup in Mydlniki (Cracow Area, Southern Poland).” Facies, vol. 27, no. 1, Dec. 1992, pp. 179–89. Springer Link, https://doi.org/10.1007/BF02536811.",
88,86,Moussavian,Esmail,-,47.560048,14.174196,"Worschachberg, Austria",34.3862,14.9661,51.9,Boreotropical,Coastal,56-47.8,Paleogene,Eocene,Early,K,Northern Alps,1984,10.1007/BF02536688,"Die Gosau- und Alttertiär-Gerölle der Angerberg-Schichten (Höheres Oligozän, Unterinntal, Nördliche Kalkalpen)","Moussavian, Esmail. “Die Gosau- Und Alttertiär-Gerölle Der Angerberg-Schichten (Höheres Oligozän, Unterinntal, Nördliche Kalkalpen).” Facies, vol. 10, no. 1, 1984, pp. 1–85, https://doi.org/10.1007/BF02536688.",
109,109,Ryczkowska,Iga,"Matysik, Michal",50.568478,18.08071,"Tarnow Opolski, Poland",26.802,33.125,243.44,Arid,Coastal-Continental,,Triassic,Early-Middle,Olenekian-Ladinian,Karchowice Beds,Germanic Basin,2025,10.1016/j.marpetgeo.2024.107174,"Multistage selective diagenesis increasing poro-perm properties of Anisian sponge-microbial-coral patch reefs and adjacent facies in the Muschelkalk of Upper Silesia, Southern Poland","Ryczkowska, Iga, and Michał Matysik. “Multistage Selective Diagenesis Increasing Poro-Perm Properties of Anisian Sponge-Microbial-Coral Patch Reefs and Adjacent Facies in the Muschelkalk of Upper Silesia, Southern Poland.” Marine and Petroleum Geology, vol. 171, Jan. 2025, p. 107174. DOI.org (Crossref), https://doi.org/10.1016/j.marpetgeo.2024.107174.",
21,21,Bosence,Dan,"Gallois, Arnaud",50.569899,-2.431731,"Isle of Portland, England",33.3936,24.9677,158.155,Arid,Coastal,,Jurassic,Late,-,Kimmeridge Clay,Freshwater Bay,2022,10.1111/sed.12933,"How do thrombolites form? Multiphase construction of lacustrine microbialites, Purbeck Limestone Group, (Jurassic), Dorset, UK","Bosence, Dan, and Arnaud Gallois. “How Do Thrombolites Form? Multiphase Construction of Lacustrine Microbialites, Purbeck Limestone Group, (Jurassic), Dorset, UK.” Sedimentology, vol. 69, no. 2, 2022, pp. 914–53. Wiley Online Library, https://doi.org/10.1111/sed.12933.",
116,116,Schlager,Wolfgang,-,47.675889,13.728712,"Blaa Alm, Austria",29.1744,30.5515,172.8,Tropical,Coastal,,Jurassic,Middle,-,Klaus,Alpine-Mediterranean orogenic belt,1975,10.1002/9781444304855.ch6,Preservation of Cephalopod Skeletons and Carbonate Dissolution on Ancient Tethyan Sea Floors,"Schlager, Wolfgang. “Preservation of Cephalopod Skeletons and Carbonate Dissolution on Ancient Tethyan Sea Floors.” Pelagic Sediments: On Land and under the Sea, edited by Kenneth J. Hsü and Hugh C. Jenkyns, 1st ed., Wiley, 1975, pp. 49–70. DOI.org (Crossref), https://doi.org/10.1002/9781444304855.ch3.",
55,55,Frykman,Peter,-,57.380812,18.237587,"Klinteberget, Sweden",-13.313,-61.3512,432.9,Arid,Coastal,,Silurian,Llandovery-Ludlow,-,Klinteberg Beds,-,1985,10.1080/11035898509452618,"Subbaerial exposure and cement stratigraphy of a Silurian bioherm in the Klinteberg Beds, Gotland, Sweden","Frykman, Peter. “Subaerial Exposure and Cement Stratigraphy of a Silurian Bioherm in the Klinteberg Beds, Gotland, Sweden.” Geologiska Föreningen i Stockholm Förhandlingar, vol. 107, no. 1, Mar. 1985, pp. 77–88. DOI.org (Crossref), https://doi.org/10.1080/11035898509452618.",
76,76,Kuss,Jochen,-,47.742648,13.02913,"Salzburg, Austria",19.8385,23.5082,232.15,Arid,Coastal-Continental,,Triassic,Late,-,Kössen Beds,-,1983,10.1007/BF02536659,"Faziesentwicklung in proximalen Intraplattform-Becken: Sedimentation, Palökologie und Geochemie der Kössener Schichten (Ober-Trias, Nördliche Kalkalpen)","Kuss, J. “Faziesentwicklung in Proximalen Intraplattform-Becken: Sedimentation, Palökologie Und Geochemie Der Kössener Schichten (Ober-Trias, Nördliche Kalkalpen).” Facies, vol. 9, no. 1, 1983, pp. 61–171. Scopus, Scopus, https://doi.org/10.1007/BF02536659.",
